epic,story,state,tests,code_files,doc_files,feature
Core Infrastructure & Factory Pattern,1.1,code implemented,tests/unit/core/test_retrieval_interface.py;tests/unit/strategies/self_reflective/test_strategy.py;tests/unit/core/test_indexing_interface.py;tests/unit/services/test_reranking_interface.py;tests/unit/strategies/test_base_strategy_di.py;tests/unit/services/test_graph_interface.py;tests/unit/strategies/agentic/test_strategy.py;tests/unit/services/test_interfaces.py,rag_factory/strategies/contextual/strategy.py;rag_factory/core/indexing_interface.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/services/interfaces.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/core/retrieval_interface.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/stories/epic-15/story-15.2-service-interface-tests.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/guides/strategy-selection.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/stories/Completed/epic-11/story-11.1-define-service-interfaces.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md,Design RAG Strategy Interface
Core Infrastructure & Factory Pattern,1.2,code implemented,tests/unit/test_factory_di.py;tests/integration/test_factory_consistency.py;tests/unit/test_factory.py;tests/integration/test_factory_integration.py;tests/unit/core/test_factory_validation.py,rag_factory/factory.py,docs/rag-factory-project-plan.md;docs/epics/rag-factory-project-plan.md;docs/stories/Completed/epic-12/story-12.6-implement-factory-validation-with-consistency-checking.md;docs/stories/Completed/epic-01/story-1.2-rag-factory.md;docs/stories/Completed/epic-11/story-11.5-update-rag-factory-for-di.md,Implement RAG Factory
Core Infrastructure & Factory Pattern,1.3,code implemented,tests/unit/strategies/self_reflective/test_strategy.py;tests/unit/strategies/agentic/test_strategy.py;tests/unit/strategies/test_base_strategy_di.py,rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/guides/strategy-selection.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md,Build Strategy Composition Engine
Core Infrastructure & Factory Pattern,1.4,pending,,,docs/getting-started/configuration.md;docs/stories/Completed/epic-01/story-1.4-configuration-management.md;docs/stories/Completed/epic-08/story-8.1-monitoring-logging-system.md;docs/stories/epic-16/story-16.1-audit-migration-systems.md;docs/epics/epic-17-strategy-pair-configuration.md,Create Configuration Management System
Core Infrastructure & Factory Pattern,1.5,test created,tests/integration/test_package_integration.py;tests/unit/test_package.py,,docs/epics/epic-01-core-infrastructure.md;docs/stories/Completed/epic-01/story-1.5-package-structure.md,Setup Package Structure & Distribution
Database & Storage Infrastructure,2.1,code implemented,tests/unit/database/test_pgvector.py;tests/unit/database/test_vector_indexing.py;tests/integration/database/test_database_integration.py;tests/unit/services/test_database_service.py;tests/integration/strategies/test_vector_embedding_indexing.py,rag_factory/database/vector_indexing.py;rag_factory/strategies/indexing/vector_embedding.py,docs/stories/epic-16/story-16.6-update-database-documentation.md;docs/stories/epic-15/story-15.4-database-feature-tests.md;docs/stories/Completed/epic-02/story-2.1-vector-database-setup.md;docs/epics/epic-02-database-storage.md;docs/epics/epic-16-database-consolidation.md;docs/stories/epic-16/story-16.3-create-database-fixtures.md;docs/stories/Completed/epic-02/story-2.2-database-repository-pattern.md;docs/stories/Completed/epic-13/story-13.2-vector-embedding-indexing.md,Set Up Vector Database with PG Vector
Database & Storage Infrastructure,2.2,test created,tests/unit/repositories/test_chunk_repository.py;tests/integration/database/test_database_integration.py;tests/integration/repositories/test_repository_integration.py;tests/unit/repositories/test_document_repository.py;tests/unit/services/test_database_service.py,,docs/stories/epic-16/story-16.6-update-database-documentation.md;docs/stories/epic-15/story-15.4-database-feature-tests.md;docs/stories/Completed/epic-02/story-2.1-vector-database-setup.md;docs/epics/epic-02-database-storage.md;docs/epics/epic-16-database-consolidation.md;docs/architecture/design-patterns.md;docs/stories/epic-16/story-16.3-create-database-fixtures.md;docs/stories/Completed/epic-02/story-2.2-database-repository-pattern.md,Implement Database Repository Pattern
Core Services Layer,3.1,code implemented,tests/integration/models/test_fine_tuned_embeddings_integration.py;tests/unit/strategies/reranking/test_reranker_service.py;tests/unit/strategies/query_expansion/test_expander_service.py;tests/integration/services/test_onnx_embeddings_integration.py;tests/integration/services/test_service_integration.py;tests/unit/services/embedding/test_service.py;tests/performance/benchmark_onnx_embeddings.py;tests/integration/services/test_service_implementations.py;tests/integration/services/test_embedding_integration.py;tests/unit/strategies/late_chunking/test_embedding_chunker.py;tests/unit/services/llm/test_service.py;tests/unit/services/test_database_service.py;tests/integration/strategies/test_vector_embedding_indexing.py,rag_factory/strategies/reranking/reranker_service.py;rag_factory/strategies/late_chunking/embedding_chunker.py;rag_factory/strategies/query_expansion/expander_service.py;rag_factory/services/onnx/embedding.py;rag_factory/services/embedding/service.py;rag_factory/strategies/indexing/vector_embedding.py;rag_factory/services/llm/service.py,docs/stories/Completed/epic-03/story-3.1-embedding-service.md;docs/stories/Completed/epic-10/story-10.1-migrate-embedding-services-to-onnx.md;docs/stories/Completed/epic-03/story-3.2-llm-service-adapter.md;docs/stories/Completed/epic-11/story-11.1-define-service-interfaces.md;docs/stories/epic-15/story-15.2-service-interface-tests.md;docs/stories/Completed/epic-11/story-11.3-implement-service-implementations.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-10/story-10.5-migrate-fine-tuned-embeddings-to-onnx.md;docs/epics/epic-03-core-services.md;docs/stories/Completed/epic-13/story-13.2-vector-embedding-indexing.md,Build Embedding Service
Core Services Layer,3.2,code implemented,tests/unit/strategies/query_expansion/test_expander_service.py;tests/unit/strategies/reranking/test_reranker_service.py;tests/integration/services/test_service_integration.py;tests/unit/services/embedding/test_service.py;tests/integration/services/test_service_implementations.py;tests/unit/services/llm/test_service.py;tests/unit/services/test_database_service.py,rag_factory/services/llm/service.py;rag_factory/services/embedding/service.py;rag_factory/strategies/reranking/reranker_service.py;rag_factory/strategies/query_expansion/expander_service.py,docs/stories/Completed/epic-03/story-3.1-embedding-service.md;docs/stories/Completed/epic-10/story-10.1-migrate-embedding-services-to-onnx.md;docs/stories/Completed/epic-03/story-3.2-llm-service-adapter.md;docs/stories/Completed/epic-11/story-11.1-define-service-interfaces.md;docs/stories/epic-15/story-15.2-service-interface-tests.md;docs/stories/Completed/epic-11/story-11.3-implement-service-implementations.md;docs/epics/epic-03-core-services.md,Implement LLM Service Adapter
Priority RAG Strategies,4.1,code implemented,tests/benchmarks/test_contextual_performance.py;tests/unit/strategies/indexing/test_context_aware.py;tests/integration/strategies/test_chunking_integration.py;tests/unit/strategies/contextual/test_context_generator.py;tests/benchmarks/test_late_chunking_performance.py;tests/integration/strategies/test_late_chunking_integration.py;tests/integration/strategies/test_contextual_integration.py,rag_factory/strategies/indexing/context_aware.py;rag_factory/strategies/contextual/context_generator.py,docs/stories/Completed/epic-04/story-4.1-context-aware-chunking.md;docs/epics/epic-06-multi-query-contextual.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-10/story-10.3-migrate-late-chunking-to-onnx.md;docs/strategies/contextual.md;docs/stories/Completed/epic-13/story-13.1-context-aware-chunking.md,Implement Context-Aware Chunking Strategy
Priority RAG Strategies,4.2,code implemented,tests/unit/strategies/self_reflective/test_strategy.py;tests/integration/strategies/test_reranking_integration.py;tests/unit/services/test_reranking_interface.py;tests/unit/strategies/test_base_strategy_di.py;tests/unit/strategies/agentic/test_strategy.py,rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/stories/Completed/epic-10/story-10.4-migrate-reranking-to-lightweight-alternatives.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/guides/strategy-selection.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md,Implement Re-ranking Strategy
Priority RAG Strategies,4.3,code implemented,tests/integration/cli/test_index_query_flow.py;tests/unit/cli/test_query_command.py;tests/integration/strategies/test_query_expansion_integration.py;tests/unit/strategies/self_reflective/test_strategy.py;tests/integration/strategies/test_multi_query_integration.py;tests/unit/strategies/test_base_strategy_di.py;tests/unit/strategies/agentic/test_strategy.py;tests/unit/strategies/agentic/test_query_analyzer.py,rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/agentic/query_analyzer.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/cli/commands/query.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/epics/epic-06-multi-query-contextual.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/guides/strategy-selection.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-04/story-4.3-query-expansion.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/getting-started/first-query.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md,Implement Query Expansion Strategy
Agentic & Advanced Retrieval Strategies,5.1,code implemented,tests/unit/strategies/self_reflective/test_strategy.py;tests/unit/strategies/agentic/test_strategy.py;tests/unit/strategies/test_base_strategy_di.py,rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/guides/strategy-selection.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/epics/epic-05-agentic-advanced.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md,Implement Agentic RAG Strategy
Agentic & Advanced Retrieval Strategies,5.2,code implemented,tests/unit/strategies/self_reflective/test_strategy.py;tests/integration/strategies/test_hierarchical_integration.py;tests/unit/strategies/test_base_strategy_di.py;tests/unit/strategies/agentic/test_strategy.py;tests/integration/strategies/test_hierarchical_indexing.py,rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/indexing/hierarchical.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/guides/strategy-selection.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-13/story-13.4-hierarchical-indexing.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md,Implement Hierarchical RAG Strategy
Agentic & Advanced Retrieval Strategies,5.3,code implemented,tests/unit/strategies/self_reflective/test_strategy.py;tests/unit/strategies/agentic/test_strategy.py;tests/integration/strategies/test_self_reflective_integration.py;tests/unit/strategies/test_base_strategy_di.py,rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/guides/strategy-selection.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md,Implement Self-Reflective RAG Strategy
